DCLXXVIII,678
1429,MCDXXIX
MCLVI,1156
CLIV,154
2324,MMCCCXXIV
DXXXII,532
492,CDXCII
MLXXXI,1081
1185,MCLXXXV
MMDCXL,2640
2502,MMDII
MCDLIX,1459
MDCCXXX,1730
1314,MCCCXIV
2480,MMCDLXXX
2977,MMCMLXXVII
MMCXL,2140
CXC,190
586,DLXXXVI
MXC,1090
CXLVI,146
2039,MMXXXIX
MCMLXXXIX,1989
2715,MMDCCXV
2179,MMCLXXIX
1565,MDLXV
2269,MMCCLXIX
2375,MMCCCLXXV
2081,MMLXXXI
1002,MII
MDCCCXXXIX,1839
CMLXXX,980
MMCMXXXII,2932
2957,MMCMLVII
948,CMXLVIII
MDCCCXXXVII,1837
vi,6
DCXXXVII,637
MDXLVII,1547
2226,MMCCXXVI
518,DXVIII
1294,MCCXCIV
MCCCXII,1312
MMXXXVIII,2038
1658,MDCLVIII
MMDX,2510
MMCMXVIII,2918
2096,MMXCVI
MMCDXLIV,2444
733,DCCXXXIII
MMDCCCLXXII,2872
2677,MMDCLXXVII
MDCLXVII,1667
322,CCCXXII
2509,MMDIX
MMCDLXIX,2469
100,C
MMCCLXI,2261
603,DCIII
MLXXIV,1074
CXL,140
1392,MCCCXCII
2802,MMDCCCII
1694,MDCXCIV
,ERROR
860,DCCCLX
1648,MDCXLVIII
2546,MMDXLVI
MCLVII,1157
IV,4
1818,MDCCCXVIII
CCCXLI,341
2574,MMDLXXIV
545,DXLV
MMDCCLXXXIII,2783
MMCCLVIII,2258
MMCDXLV,2445
1847,MDCCCXLVII
1714,MDCCXIV
1956,MCMLVI
1145,MCXLV
  c  ,100
906,CMVI
MMCCXXI,2221
2610,MMDCX
MDCLXXII,1672
MMCMXCVIII,2998
CCCXXV,325
2535,MMDXXXV
CCCLXXV,375
2049,MMXLIX
1726,MDCCXXVI
MCXLI,1141
MMDCCLXXIV,2774
2122,MMCXXII
1898,MDCCCXCVIII
MCCCII,1302
MCMLIX,1959
MDXLVIII,1548
1189,MCLXXXIX
2104,MMCIV
MCCCXXIX,1329
974,CMLXXIV
35,XXXV
2248,MMCCXLVIII
1496,MCDXCVI
570,DLXX
1173,MCLXXIII
CCIV,204
   ,ERROR
MMCMXXXIX,2939
MLXXXIX,1089
912,CMXII
CCC,300
MMCDXVII,2417
MMCDLIII,2453
345,CCCXLV
MMCMXCII,2992
MMDCLXXXIV,2684
MCDLXXVII,1477
916,CMXVI
1419,MCDXIX
CXVII,117
304,CCCIV
DCCLXV,765
1597,MDXCVII
2378,MMCCCLXXVIII
2327,MMCCCXXVII
CMLXXI,971
MMCDIII,2403
1374,MCCCLXXIV
2123,MMCXXIII
MMDCCXCIV,2794
CDVIII,408
2080,MMLXXX
880,DCCCLXXX
2473,MMCDLXXIII
2928,MMCMXXVIII
MMDCCCLII,2852
MMVII,2007
MCXXIV,1124
MDLII,1552
DLVII,557
CCCXVII,317
MCMLXXX,1980
MMCLXX,2170
MMDCXX,2620
MMCCLII,2252
CCCVIII,308
258,CCLVIII
1160,MCLX
CDXXVIII,428
MXXVI,1026
MXLIV,1044
MCCXLV,1245
1125,MCXXV
DCCLXIII,763
2283,MMCCLXXXIII
MMCDLXXX,2480
610,DCX
MCCLI,1251
2751,MMDCCLI
472,CDLXXII
CCLXIV,264
,ERROR
MDCLXXXVIII,1688
2643,MMDCXLIII
MCMXXIV,1924
2520,MMDXX
MXCIII,1093
1200,MCC
783,DCCLXXXIII
CDXL,440
1252,MCCLII
195,CXCV
MMDCL,2650
MDCCXC,1790
296,CCXCVI
MDCXCIV,1694
2615,MMDCXV
764,DCCLXIV
DCCCLVIII,858
2308,MMCCCVIII
451,CDLI
1291,MCCXCI
2558,MMDLVIII
1111,MCXI
207,CCVII
773,DCCLXXIII
MMCMIV,2904
CCIII,203
MCCLXIX,1269
1286,MCCLXXXVI
MMCCLIX,2259
DCXXXIX,639
DCVIII,608
CDLI,451
2211,MMCCXI
MMCMXXII,2922
1329,MCCCXXIX
MMDCXCV,2695
MCCXI,1211
MMDXLVI,2546
MDXCI,1591
373,CCCLXXIII
1878,MDCCCLXXVIII
MMDV,2505
1062,MLXII
MCDXCI,1491
DCXXX,630
2276,MMCCLXXVI
MMCCLXXIV,2274
CCLXXI,271
2970,MMCMLXX
CCLIX,259
LXXII,72
MCMXXXIX,1939
2521,MMDXXI
CCCI,301
MCCXXXIV,1234
MMCDLIX,2459
663,DCLXIII
CCLXXXII,282
635,DCXXXV
MCDXXV,1425
DCCXXXII,732
MCDLXXII,1472
CCCXXX,330
MMXLVIII,2048
DCCCVI,806
MCMXLIII,1943
,ERROR
2960,MMCMLX
MDCCLXXIV,1774
1459,MCDLIX
MCDLXVIII,1468
XXII,22
MMDLXXIV,2574
571,DLXXI
2106,MMCVI
1590,MDXC
1875,MDCCCLXXV
MMCCXII,2212
280,CCLXXX
321,CCCXXI
1766,MDCCLXVI
362,CCCLXII
MCCIX,1209
CCLXXII,272
970,CMLXX
1977,MCMLXXVII
DCV,605
2809,MMDCCCIX
1468,MCDLXVIII
DXC,590
MMXXIV,2024
MMCCCXXI,2321
DCCCXLIV,844
2954,MMCMLIV
DLXIX,569
1238,MCCXXXVIII
80,LXXX
DCCXCII,792
1099,MXCIX
DCCLXXVIII,778
MDCCXLVI,1746
DXXVI,526
294,CCXCIV
CCLXX,270
2635,MMDCXXXV
LXXVI,76
MMCCLXXXIV,2284
2242,MMCCXLII
2624,MMDCXXIV
1282,MCCLXXXII
1406,MCDVI
1017,MXVII
1407,MCDVII
138,CXXXVIII
MCXLVII,1147
1100,MC
1888,MDCCCLXXXVIII
MMCCIX,2209
CDLXXXIX,489
MMCMXCV,2995
MMCXII,2112
1848,MDCCCXLVIII
viiii,9
CVIII,108
MMCCXVIII,2218
DCLIV,654
MDCII,1602
1386,MCCCLXXXVI
2108,MMCVIII
1337,MCCCXXXVII
2729,MMDCCXXIX
892,DCCCXCII
MMCDXIV,2414
MCMXVI,1916
2408,MMCDVIII
DCXCIII,693
298,CCXCVIII
MMXCII,2092
MDXIV,1514
2076,MMLXXVI
1503,MDIII
MMDCCCLXXIV,2874
675,DCLXXV
MCCLVIII,1258
1945,MCMXLV
475,CDLXXV
2782,MMDCCLXXXII
1289,MCCLXXXIX
CLXVII,167
MCDLXXXVI,1486
1146,MCXLVI
1754,MDCCLIV
1312,MCCCXII
MMCCCXIV,2314
MMCCCLXXXVI,2386
MMCCIV,2204
MMCCLXIX,2269
MMCCCL,2350
620,DCXX
214,CCXIV
MMDCCCLXXV,2875
574,DLXXIV
CDLXIII,463
2718,MMDCCXVIII
MMDCXXVII,2627
887,DCCCLXXXVII
MCXLII,1142
806,DCCCVI
DCCCXCIV,894
MMCMLXVIII,2968
CDLXI,461
MMCDLXI,2461
CCCLXXIV,374
CLXXVII,177
800,DCCC
2171,MMCLXXI
MMCDLXXXVI,2486
DXCV,595
2733,MMDCCXXXIII
MCXXXI,1131
MDXVIII,1518
2916,MMCMXVI
MMDCXCVII,2697
MMCDLXXI,2471
MCXLVIII,1148
CDXXXIII,433
CCCLXXXVI,386
2180,MMCLXXX
MCMXXII,1922
1505,MDV
MCCCLXXXIX,1389
995,CMXCV
CDXLIV,444
320,CCCXX
209,CCIX
MDCXLI,1641
MMDCCXVII,2717
351,CCCLI
2765,MMDCCLXV
487,CDLXXXVII
MXVI,1016
1972,MCMLXXII
2540,MMDXL
MMCCXXX,2230
2351,MMCCCLI
MCMXXXI,1931
DCCXC,790
MMDCCIX,2709
962,CMLXII
MCCXCII,1292
MDCCXII,1712
MMCCXCV,2295
MCCXL,1240
2649,MMDCXLIX
2734,MMDCCXXXIV
MCDXV,1415
542,DXLII
MDCXXXVI,1636
2630,MMDCXXX
2019,MMXIX
1738,MDCCXXXVIII
CCCLXXVIII,378
MMCCLX,2260
MXXI,1021
1298,MCCXCVIII
MMCCLXXII,2272
2602,MMDCII
MCDLXXXIII,1483
MCCII,1202
2942,MMCMXLII
541,DXLI
XVI,16
235,CCXXXV
875,DCCCLXXV
921,CMXXI
2129,MMCXXIX
1991,MCMXCI
MMCDXLIX,2449
MMDCLIII,2653
MCMLX,1960
MMDXXVII,2527
MDCCXCVIII,1798
1441,MCDXLI
1251,MCCLI
DIII,503
MMCCLXXVI,2276
MMCMXXXVI,2936
MMCCCLXV,2365
MMDCCCXIV,2814
1151,MCLI
CXIII,113
782,DCCLXXXII
343,CCCXLIII
2796,MMDCCXCVI
1762,MDCCLXII
975,CMLXXV
2138,MMCXXXVIII
1856,MDCCCLVI
MDCCVII,1707
1840,MDCCCXL
2709,MMDCCIX
CCXLII,242
MCXXV,1125
835,DCCCXXXV
CCCXCIX,399
MMDCCLXXIX,2779
MMDXXXVIII,2538
MCCCXXIII,1323
MCCXLII,1242
2998,MMCMXCVIII
MDCLXX,1670
MDLI,1551
MMCMLXIX,2969
1110,MCX
MMCXCVII,2197
1164,MCLXIV
MCDLVIII,1458
1926,MCMXXVI
1644,MDCXLIV
MLXXXII,1082
MMDCCXI,2711
1919,MCMXIX
160,CLX
1024,MXXIV
163,CLXIII
MMCCCIII,2303
CCCLXXIX,379
1010,MX
MMDCCXXXV,2735
MMCMLXXII,2972
MDCCXCIX,1799
MDXXIX,1529
DXXVII,527
1288,MCCLXXXVIII
863,DCCCLXIII
CMXXIX,929
DCCLVIII,758
2888,MMDCCCLXXXVIII
2429,MMCDXXIX
CCLXIII,263
2419,MMCDXIX
CDLXXXVIII,488
CCVII,207
MCMXLIV,1944
2061,MMLXI
CDXCVII,497
877,DCCCLXXVII
463,CDLXIII
450,CDL
MMDLXXXI,2581
307,CCCVII
MDCXL,1640
1257,MCCLVII
MXXXIV,1034
MCCCLXXVI,1376
DCCCLXXIX,879
MLXXX,1080
MCMLXXII,1972
MMDCCCXVI,2816
CCCLI,351
1953,MCMLIII
CMXC,990
2476,MMCDLXXVI
923,CMXXIII
MMCDXVIII,2418
1457,MCDLVII
MMCCCXXXIX,2339
MMDXCVIII,2598
LXX,70
MCCCV,1305
2659,MMDCLIX
191,CXCI
MCDLXXIV,1474
MMDCXIX,2619
1881,MDCCCLXXXI
979,CMLXXIX
MMCCXCIII,2293
DXXX,530
25,XXV
MMDCXV,2615
2435,MMCDXXXV
1539,MDXXXIX
780,DCCLXXX
1333,MCCCXXXIII
MMDCCCXXXIV,2834
290,CCXC
DLXX,570
MMDCCCXXI,2821
1336,MCCCXXXVI
1647,MDCXLVII
MCMXXV,1925
MMCMLII,2952
DLXXXIX,589
MCMLXXXI,1981
530,DXXX
184,CLXXXIV
1107,MCVII
1144,MCXLIV
MMCCCLXXV,2375
MIV,1004
DCCXLII,742
2182,MMCLXXXII
2507,MMDVII
XXXIV,34
1443,MCDXLIII
MMDCXXXIV,2634
449,CDXLIX
MMDCLXV,2665
CDLXIV,464
914,CMXIV
2265,MMCCLXV
2663,MMDCLXIII
MDCCCIX,1809
LXXXVII,87
MCDXXVIII,1428
MCCCVII,1307
MDCCLXXVIII,1778
DCCCLXXIV,874
417,CDXVII
2626,MMDCXXVI
2983,MMCMLXXXIII
CCLXXVIII,278
MCMXX,1920
CXCIX,199
MCCCXX,1320
MMDCCXCVII,2797
CCXXXVII,237
883,DCCCLXXXIII
245,CCXLV
1608,MDCVIII
MMCDXXXII,2432
MMCCX,2210
1281,MCCLXXXI
674,DCLXXIV
MMXXXVII,2037
1605,MDCV
1324,MCCCXXIV
MCXCIV,1194
CDXVI,416
2059,MMLIX
999,CMXCIX
MCCCLIII,1353
MMDLVI,2556
2156,MMCLVI
2475,MMCDLXXV
MMCMXIV,2914
1922,MCMXXII
MCCXCVI,1296
MCMXIX,1919
DXVIII,518
1697,MDCXCVII
1178,MCLXXVIII
MDCCXVIII,1718
MDLXXXVII,1587
MCCLXVI,1266
MMCDXCVI,2496
1778,MDCCLXXVIII
1380,MCCCLXXX
40,XL
MDCXXVI,1626
MMCCCLXVIII,2368
787,DCCLXXXVII
2500,MMD
2350,MMCCCL
DCCCXXIX,829
1080,MLXXX
1586,MDLXXXVI
2120,MMCXX
MDCCCXVI,1816
909,CMIX
1602,MDCII
485,CDLXXXV
1112,MCXII
2406,MMCDVI
1801,MDCCCI
459,CDLIX
DCI,601
288,CCLXXXVIII
MC,1100
MMCDLXIII,2463
251,CCLI
DCCXCVII,797
MDCLXXXIII,1683
2290,MMCCXC
MCCLXXXVIII,1288
757,DCCLVII
MDCCCLX,1860
MDCCLVIII,1758
DCCCXLV,845
CMXXVII,927
MCCCXLVIII,1348
60,LX
CCCXIX,319
XC,90
CCCLXI,361
2832,MMDCCCXXXII
MCDXI,1411
2869,MMDCCCLXIX
9,IX
528,DXXVIII
134,CXXXIV
MCII,1102
CXXI,121
MCMIX,1909
2747,MMDCCXLVII
666,DCLXVI
1409,MCDIX
399,CCCXCIX
2997,MMCMXCVII
CXXXIII,133
2920,MMCMXX
DCCXXVI,726
DCLXXXIX,689
2314,MMCCCXIV
LXV,65
419,CDXIX
CML,950
1606,MDCVI
2271,MMCCLXXI
982,CMLXXXII
MMCDXLVII,2447
2336,MMCCCXXXVI
MMCDV,2405
694,DCXCIV
1970,MCMLXX
MLXVII,1067
2719,MMDCCXIX
1269,MCCLXIX
MXXXVI,1036
1256,MCCLVI
MMDCLXII,2662
DLXII,562
MDXXV,1525
CCCLXVI,366
CVII,107
DCCCLII,852
2771,MMDCCLXXI
929,CMXXIX
MCMXLVIII,1948
CMXXIII,923
MMIII,2003
2866,MMDCCCLXVI
49,XLIX
MCMVII,1907
CLXIV,164
MDCXLVII,1647
CCCLXXXV,385
53,LIII
DCIX,609
1882,MDCCCLXXXII
MMDCLXIV,2664
CCLXXIV,274
MCCCLVIII,1358
2261,MMCCLXI
MCCLXXIX,1279
MMDCLVII,2657
MDCCCLXIV,1864
121,CXXI
MMDCCX,2710
IX,9
MMCCCLXIII,2363
DCCXI,711
MMDCIV,2604
MCDLXIX,1469
MXLVIII,1048
CCXLI,241
1022,MXXII
MMCCCXIII,2313
2563,MMDLXIII
DCCCLXVI,866
DCCCXIII,813
MDCCII,1702
42,XLII
829,DCCCXXIX
2041,MMXLI
DLXXII,572
DCCXLIII,743
MCCLXXXI,1281
1084,MLXXXIV
2857,MMDCCCLVII
MMCCCLXX,2370
1516,MDXVI
2926,MMCMXXVI
2431,MMCDXXXI
MMDLXXXV,2585
1239,MCCXXXIX
MDXV,1515
1138,MCXXXVIII
MMCCI,2201
2415,MMCDXV
2910,MMCMX
2865,MMDCCCLXV
MMDCCV,2705
MCCCXLIX,1349
1528,MDXXVIII
2354,MMCCCLIV
1299,MCCXCIX
785,DCCLXXXV
MDLXXII,1572
CCCXXIII,323
CDXV,415
1003,MIII
2319,MMCCCXIX
CMXXXIX,939
2833,MMDCCCXXXIII
MMDCCCLXXXVII,2887
DLXXXIII,583
1304,MCCCIV
1541,MDXLI
1467,MCDLXVII
2409,MMCDIX
MMCMLXXI,2971
CDLXXXIII,483
211,CCXI
412,CDXII
CCXCVI,296
XIII,13
226,CCXXVI
MCDIX,1409
2539,MMDXXXIX
1297,MCCXCVII
1400,MCD
MCCCLXVII,1367
2466,MMCDLXVI
2797,MMDCCXCVII
2425,MMCDXXV
2388,MMCCCLXXXVIII
1745,MDCCXLV
77,LXXVII
MCDLVI,1456
MMDCCCLXIX,2869
2596,MMDXCVI
MCVII,1107
MDXIII,1513
81,LXXXI
MCCCLXXII,1372
MMDCCLXXXVII,2787
MCMLXXI,1971
MMCCV,2205
540,DXL
MMCMXXXIII,2933
MMDII,2502
301,CCCI
MCMLXX,1970
MMCMIII,2903
MCLIV,1154
1533,MDXXXIII
MCCCXXXVII,1337
MMDCCCVIII,2808
MCDLXXI,1471
MCMXII,1912
CMXCVIII,998
1136,MCXXXVI
2366,MMCCCLXVI
DCLV,655
1816,MDCCCXVI
MMDCCCXLII,2842
CCCIV,304
MCCLXXXV,1285
MDCLXXXVI,1686
1250,MCCL
1203,MCCIII
MCMXXXVI,1936
2625,MMDCXXV
MMCCCXLVII,2347
MCCCLXXIV,1374
MMDCCCXXXII,2832
2033,MMXXXIII
768,DCCLXVIII
MDCCLIX,1759
2953,MMCMLIII
MDCCLII,1752
MDC,1600
MDCCCXCII,1892
950,CML
2744,MMDCCXLIV
661,DCLXI
MDCCXXXI,1731
MDCXCIX,1699
2544,MMDXLIV
MMDLXXV,2575
MCCCXCVI,1396
MMCDVIII,2408
726,DCCXXVI
1135,MCXXXV
283,CCLXXXIII
940,CMXL
732,DCCXXXII
1887,MDCCCLXXXVII
894,DCCCXCIV
MCDXCVIII,1498
DCCLXI,761
44,XLIV
1845,MDCCCXLV
1174,MCLXXIV
2972,MMCMLXXII
464,CDLXIV
2485,MMCDLXXXV
2799,MMDCCXCIX
1640,MDCXL
2352,MMCCCLII
2632,MMDCXXXII
CMXIX,919
2164,MMCLXIV
MDCCLXXXI,1781
1121,MCXXI
2006,MMVI
MCCXXVII,1227
811,DCCCXI
193,CXCIII
210,CCX
MCXXXVII,1137
MMCLXXVI,2176
MMCLXXXVII,2187
MMLX,2060
MCCLXXXIX,1289
DCCCXVI,816
CXXXVIII,138
MDCCCXLII,1842
CMLIX,959
454,CDLIV
2557,MMDLVII
MDCCCXXIII,1823
1453,MCDLIII
904,CMIV
DCCXCV,795
2695,MMDCXCV
241,CCXLI
339,CCCXXXIX
DXCIX,599
MMDCCCLVI,2856
1264,MCCLXIV
CLXXXIII,183
1165,MCLXV
1679,MDCLXXIX
447,CDXLVII
CDLIX,459
1943,MCMXLIII
1460,MCDLX
MCMLXXXIII,1983
253,CCLIII
MMCDLXXXVIII,2488
MCMLXIX,1969
2956,MMCMLVI
397,CCCXCVII
MDCXXVII,1627
CLXXIII,173
MCXVI,1116
CMLIII,953
XXXVII,37
2262,MMCCLXII
CDXCII,492
MMLXXI,2071
683,DCLXXXIII
MMCLXI,2161
MDCXXII,1622
1625,MDCXXV
651,DCLI
LXVI,66
MCMLXVIII,1968
2325,MMCCCXXV
MCCXXXIII,1233
1872,MDCCCLXXII
2613,MMDCXIII
309,CCCIX
MMCXXV,2125
2752,MMDCCLII
977,CMLXXVII
MMCXCIII,2193
MMDCCXXXIII,2733
151,CLI
     5   ,V
448,CDXLVIII
MMXCIII,2093
2594,MMDXCIV
1957,MCMLVII
1979,MCMLXXIX
1162,MCLXII
2247,MMCCXLVII
792,DCCXCII
1465,MCDLXV
827,DCCCXXVII
MDCCXL,1740
1999,MCMXCIX
MMCII,2102
476,CDLXXVI
MMCCXCII,2292
DCCCXLII,842
CI,101
MDXXXIX,1539
1562,MDLXII
MDCCXXVIII,1728
2365,MMCCCLXV
2423,MMCDXXIII
MCMLXXXVI,1986
DCCVI,706
1580,MDLXXX
MDCCX,1710
2412,MMCDXII
MCCXIX,1219
MCDXC,1490
MMCMLXXXVII,2987
183,CLXXXIII
1328,MCCCXXVIII
MLXXIX,1079
MMCMX,2910
MCCCL,1350
1763,MDCCLXIII
2135,MMCXXXV
1226,MCCXXVI
2358,MMCCCLVIII
2128,MMCXXVIII
526,DXXVI
MCCXXV,1225
1678,MDCLXXVIII
DCCCLXXIII,873
MMCCXC,2290
1488,MCDLXXXVIII
MMDCCC,2800
2167,MMCLXVII
MDCCCLI,1851
2579,MMDLXXIX
MMDXCVII,2597
CDXXVII,427
24,XXIV
1360,MCCCLX
1867,MDCCCLXVII
CLXXXIX,189
2364,MMCCCLXIV
MCMXXI,1921
CLXXXVI,186
CDLXII,462
746,DCCXLVI
2506,MMDVI
1596,MDXCVI
LX,60
CXCII,192
2258,MMCCLVIII
MMCMXLVI,2946
MCMXLVI,1946
2961,MMCMLXI
1669,MDCLXIX
2854,MMDCCCLIV
1148,MCXLVIII
LXXI,71
MDCCCLIX,1859
MDCCLXXXIII,1783
DCLXXXVI,686
1748,MDCCXLVIII
DCCLXXXVI,786
DCCLXIX,769
2385,MMCCCLXXXV
MMCDLXVI,2466
CCXVIII,218
2653,MMDCLIII
MCCL,1250
MDCCLXXXVIII,1788
X,10
MMDCCXIV,2714
MMXXXI,2031
658,DCLVIII
1216,MCCXVI
232,CCXXXII
MCCXXII,1222
1864,MDCCCLXIV
MMCCXLVII,2247
1802,MDCCCII
MMDLX,2560
692,DCXCII
MDCCLXV,1765
2293,MMCCXCIII
1598,MDXCVIII
1752,MDCCLII
1937,MCMXXXVII
CDXCVIII,498
2568,MMDLXVIII
1478,MCDLXXVIII
1958,MCMLVIII
2732,MMDCCXXXII
927,CMXXVII
MCCXLI,1241
2934,MMCMXXXIV
2847,MMDCCCXLVII
MCMXLI,1941
2530,MMDXXX
MMCCCLXXXII,2382
DXLVII,547
590,DXC
2852,MMDCCCLII
MMDXLI,2541
2450,MMCDL
2805,MMDCCCV
551,DLI
367,CCCLXVII
MMCCXXXVI,2236
MMDXLII,2542
CCXXVII,227
MLXXVIII,1078
MMCLXXXV,2185
MMCCLXXXVII,2287
MDCCCLXXXII,1882
1485,MCDLXXXV
MMCCCXCVII,2397
CCCXCII,392
2678,MMDCLXXVIII
2027,MMXXVII
MMCMLXXXV,2985
2043,MMXLIII
MMDCXLV,2645
DCCX,710
MCDXLIX,1449
1426,MCDXXVI
MMDCLXXI,2671
MMDCCXLIX,2749
CDLIV,454
667,DCLXVII
CDLV,455
MMCDXI,2411
2793,MMDCCXCIII
821,DCCCXXI
MMLXXX,2080
MMXIV,2014
1249,MCCXLIX
MDCC,1700
1115,MCXV
816,DCCCXVI
641,DCXLI
MCCLXXIII,1273
CCLII,252
1180,MCLXXX
1984,MCMLXXXIV
65,LXV
2236,MMCCXXXVI
2571,MMDLXXI
187,CLXXXVII
MXXII,1022
CCCXXXI,331
323,CCCXXIII
MCMXXXII,1932
554,DLIV
406,CDVI
MMLI,2051
MMDLXXXIV,2584
2224,MMCCXXIV
DXXXI,531
2819,MMDCCCXIX
CCXCIX,299
MDXII,1512
409,CDIX
CLXXXV,185
MDLIV,1554
MCCCLII,1352
168,CLXVIII
MDCCXLVIII,1748
583,DLXXXIII
MMCLXXVII,2177
679,DCLXXIX
1855,MDCCCLV
1472,MCDLXXII
1844,MDCCCXLIV
CCCXC,390
CMLXXXVIII,988
2754,MMDCCLIV
DCCCLXIX,869
DLIV,554
DCXX,620
1057,MLVII
MMDCI,2601
MCCXLIV,1244
436,CDXXXVI
58,LVIII
490,CDXC
1743,MDCCXLIII
CDXXX,430
CCCLV,355
DCCLIII,753
369,CCCLXIX
MMCDXVI,2416
MDLXXVI,1576
54,LIV
1652,MDCLII
1902,MCMII
1013,MXIII
1034,MXXXIV
2622,MMDCXXII
MLXIV,1064
1261,MCCLXI
DCCCXXXII,832
2212,MMCCXII
898,DCCCXCVIII
2266,MMCCLXVI
LXII,62
MLXXXV,1085
2055,MMLV
2959,MMCMLIX
1237,MCCXXXVII
MCCCXCI,1391
390,CCCXC
MMCMLXXVI,2976
1831,MDCCCXXXI
MCLXXVIII,1178
MMDCCCLI,2851
1579,MDLXXIX
324,CCCXXIV
849,DCCCXLIX
MMDCCXII,2712
MMDCCCLXIII,2863
MMDCXXXI,2631
1414,MCDXIV
1432,MCDXXXII
2357,MMCCCLVII
2637,MMDCXXXVII
2724,MMDCCXXIV
729,DCCXXIX
2,II
MDVI,1506
CCCXVIII,318
2149,MMCXLIX
MXLII,1042
MMCCXXV,2225
MDCCCXXV,1825
MMCLXXII,2172
MMCMXII,2912
2591,MMDXCI
MCDLV,1455
2627,MMDCXXVII
1927,MCMXXVII
CMXXIV,924
141,CXLI
DCCCXXIII,823
DLXVI,566
1335,MCCCXXXV
2005,MMV
2418,MMCDXVIII
2562,MMDLXII
MII,1002
MMDCCCLXV,2865
MCCLIII,1253
MMDCCLXIII,2763
1583,MDLXXXIII
DXCVI,596
146,CXLVI
DXII,512
MDXCV,1595
2246,MMCCXLVI
2100,MMC
2220,MMCCXX
MCCCLVI,1356
MMLXIII,2063
120,CXX
2481,MMCDLXXXI
DCCLXXV,775
2947,MMCMXLVII
1776,MDCCLXXVI
203,CCIII
1372,MCCCLXXII
2912,MMCMXII
2483,MMCDLXXXIII
CDLXVI,466
MMDCCCXXXI,2831
MDIX,1509
DCCCXLVIII,848
1065,MLXV
MMCMLXXIII,2973
DCCCXXIV,824
479,CDLXXIX
2432,MMCDXXXII
1852,MDCCCLII
2311,MMCCCXI
1553,MDLIII
1058,MLVIII
MMCMXXIX,2929
MMDCLXXXIII,2683
MMXXV,2025
1114,MCXIV
2158,MMCLVIII
CDXVIII,418
1696,MDCXCVI
578,DLXXVIII
MMDCCII,2702
CCLXVI,266
MDCCV,1705
491,CDXCI
DCCXXIX,729
129,CXXIX
2313,MMCCCXIII
1501,MDI
2618,MMDCXVIII
MXIX,1019
DCXLIII,643
DLVI,556
CDLXIX,469
437,CDXXXVII
1089,MLXXXIX
2778,MMDCCLXXVIII
2674,MMDCLXXIV
2824,MMDCCCXXIV
2318,MMCCCXVIII
MMXLIX,2049
1903,MCMIII
MDCCCXLVI,1846
DCCLX,760
1530,MDXXX
DCXLIV,644
949,CMXLIX
MMDLXXIII,2573
MDCCCLVIII,1858
376,CCCLXXVI
-1,ERROR
61,LXI
1025,MXXV
872,DCCCLXXII
790,DCCXC
MCDXCVII,1497
MDCCXCVI,1796
DCLXXVI,676
MMDCCCLXXXIV,2884
MMCCLXII,2262
MMLXVI,2066
1255,MCCLV
MCDXLII,1442
MCCXCVII,1297
MMDCCXLVII,2747
DCCCV,805
2679,MMDCLXXIX
MDXXXIV,1534
2901,MMCMI
414,CDXIV
453,CDLIII
XXIV,24
2711,MMDCCXI
789,DCCLXXXIX
1094,MXCIV
701,DCCI
2908,MMCMVIII
MMDCCCXXXIII,2833
1368,MCCCLXVIII
DLVIII,558
MCCCXIII,1313
1791,MDCCXCI
DXCII,592
1627,MDCXXVII
MMCXXXI,2131
2097,MMXCVII
CLIII,153
823,DCCCXXIII
2173,MMCLXXIII
446,CDXLVI
1885,MDCCCLXXXV
MMCLXXXI,2181
MMCMXLV,2945
CCXC,290
2899,MMDCCCXCIX
1711,MDCCXI
535,DXXXV
DCCCXXVI,826
MMCXXII,2122
MML,2050
1177,MCLXXVII
MCXXXV,1135
MMCCCLVII,2357
2634,MMDCXXXIV
244,CCXLIV
589,DLXXXIX
2017,MMXVII
1079,MLXXIX
926,CMXXVI
MDCCXIX,1719
DLII,552
2277,MMCCLXXVII
1379,MCCCLXXIX
CCLXII,262
2599,MMDXCIX
2919,MMCMXIX
CMXCIII,993
MCCCLXVIII,1368
CCCIX,309
305,CCCV
1828,MDCCCXXVIII
MDCLVI,1656
2553,MMDLIII
MMCCIII,2203
2052,MMLII
MMDCLXXIII,2673
1484,MCDLXXXIV
2988,MMCMLXXXVIII
2838,MMDCCCXXXVIII
644,DCXLIV
MMDXCI,2591
1936,MCMXXXVI
MMCMLXXXI,2981
MMCCLXX,2270
MMCCXLIII,2243
2057,MMLVII
431,CDXXXI
DCCXXXVIII,738
881,DCCCLXXXI
2753,MMDCCLIII
DCCXXX,730
MVII,1007
MMDCCCXXXVIII,2838
812,DCCCXII
458,CDLVIII
107,CVII
2885,MMDCCCLXXXV
861,DCCCLXI
1861,MDCCCLXI
MDCCCXXI,1821
MDCLIV,1654
2456,MMCDLVI
DLXXXVII,587
2439,MMCDXXXIX
2713,MMDCCXIII
DCCCXLVII,847
DCCCI,801
MMXXVI,2026
MMCDXXI,2421
1194,MCXCIV
462,CDLXII
2597,MMDXCVII
303,CCCIII
36,XXXVI
MCDXIX,1419
MMCMLXXXII,2982
MCLXXXVII,1187
MMCCCXX,2320
592,DXCII
DCCLXXXIX,789
MCDII,1402
CDXLVII,447
MMXLV,2045
2479,MMCDLXXIX
MCCCXC,1390
1088,MLXXXVIII
1599,MDXCIX
MMDCCXXXVIII,2738
MDXVII,1517
MMDCCXIII,2713
2883,MMDCCCLXXXIII
